driver_id,partition_id,method,total_length_feet,total_length_miles,total_time_minutes,num_edges,unique_edges,total_priority,avg_priority_per_edge,benefit,benefit_per_minute,start_node,end_node
0,0,greedy,4513.072219912335,0.8547485264985483,2.051396463596516,8,8,4.362500000000001,0.5453125000000001,18845.952406728717,9186.889390307286,659,659
1,1,greedy,8413.679909903562,1.5934999829362806,3.8243999590470734,24,24,11.44,0.4766666666666666,49420.4183540368,12922.397992690832,423,423
2,2,greedy,490.35236859966653,0.09286976678023988,0.2228874402725756,2,2,0.642,0.321,2773.439966777295,12443.231271289103,288,288
3,3,greedy,150.9911966026522,0.028596817538381097,0.0686323620921146,2,2,0.397,0.1985,1715.0399980520529,24988.794582797836,609,609
4,4,greedy,1942.9218219644777,0.3679776177963026,0.8831462827111263,6,6,3.6290000000000004,0.6048333333333334,15677.273543521333,17751.615842614952,352,352
5,5,greedy,191.3568708177774,0.036241831594276026,0.0869803958262624,2,2,1.121,0.5605,4842.719991165599,55675.99394280308,44,44
6,6,greedy,6508.469858604226,1.23266474594777,2.958395390274646,22,22,10.889000000000001,0.4949545454545455,47040.2145955471,15900.584063301989,406,406
7,7,greedy,1584.4230000296475,0.3000801136419787,0.7201922727407488,8,6,4.237,0.529625,12959.996074134311,17995.189013642175,152,152
