OBJECTID,NAME,FCLASS2014,TOTALANES,length_feet,max_grade_pct,avg_grade_pct,elevation_change_ft,score_emergency,score_graduation_route,score_graduation_parking,score_road_class,score_steepness
311,N AURORA ST,Minor Arterial,2,400.0769869915506,4.69,1.42,5.7,0.0,0.6,1.0,0.7,0.2
312,N AURORA ST,Minor Arterial,2,666.9664734925235,0.0,0.0,0.0,0.0,0.6,1.0,0.7,0.2
313,N TIOGA ST,Collector,2,222.8755116940963,0.53,0.15,0.3,0.0,0.6,1.0,0.5,0.2
314,N TIOGA ST,Collector,2,163.09983660430294,1.74,0.99,1.6,0.0,0.6,1.0,0.5,0.2
315,N TIOGA ST,Collector,2,251.9576320723802,0.66,0.03,0.1,0.0,0.6,1.0,0.5,0.2
316,HECTOR ST,Minor Arterial,2,960.1150407443004,10.73,6.78,65.1,0.0,0.6,0.0,0.7,0.6
317,CLIFF ST,Minor Arterial,2,1974.9131730263343,10.89,3.24,63.9,0.0,0.6,0.0,0.7,0.6
318,HECTOR ST,Minor Arterial,2,1026.9089827877451,15.2,8.98,92.2,0.0,0.6,0.0,0.7,0.8
319,HECTOR ST,Minor Arterial,2,1651.2026984374836,8.08,4.2,69.3,0.0,0.6,0.0,0.7,0.4
320,N MEADOW ST,Principal Arterial,3,396.98094540678574,0.17,0.03,0.1,1.0,0.6,0.0,0.85,0.2
321,N MEADOW ST,Principal Arterial,3,469.5680440225256,0.17,0.13,0.6,1.0,0.6,0.0,0.85,0.2
322,N FULTON ST,Principal Arterial,3,475.90805990364794,2.28,0.32,1.5,1.0,0.6,0.0,0.85,0.2
323,N FULTON ST,Principal Arterial,3,331.67028305821344,0.17,0.08,0.3,1.0,0.6,0.0,0.85,0.2
324,N FULTON ST,Principal Arterial,3,462.81603895425576,0.26,0.24,1.1,1.0,0.6,0.0,0.85,0.2
325,N FULTON ST,Principal Arterial,3,761.7339643404937,0.26,0.03,0.2,1.0,0.6,0.0,0.85,0.2
326,W CLINTON ST WB LANE,Local Road,3,104.92942746420411,3.45,1.21,1.3,0.0,0.6,0.0,0.25,0.2
327,S MEADOW ST,Principal Arterial,4,331.3861012374605,1.79,0.42,1.4,1.0,0.6,0.0,0.85,0.2
328,N FULTON ST,Principal Arterial,3,327.98174267694924,0.0,0.0,0.0,1.0,0.6,0.0,0.85,0.2
329,N FULTON ST,Principal Arterial,3,312.98494272368805,0.0,0.0,0.0,1.0,0.6,0.0,0.85,0.2
330,S FULTON ST,Principal Arterial,2,763.7480334946308,0.0,0.0,0.0,1.0,0.6,0.0,0.85,0.2
331,E STATE ST / M.L.K. JR ST,Minor Arterial,3,434.9231198994812,13.3,6.41,27.9,0.0,0.6,1.0,0.7,0.6
332,E STATE ST / M.L.K. JR ST,Minor Arterial,2,402.3876793052823,12.51,8.57,34.5,0.0,0.6,1.0,0.7,0.6
333,E STATE ST / M.L.K. JR ST,Minor Arterial,2,386.4932655623856,14.06,7.27,28.1,0.0,0.6,1.0,0.7,0.6
334,E STATE ST / M.L.K. JR ST,Minor Arterial,2,654.538336048177,17.83,9.47,62.0,0.0,0.6,1.0,0.7,0.8
335,E STATE ST / M.L.K. JR ST,Minor Arterial,2,482.2458577556644,13.14,8.33,40.1,0.0,0.6,1.0,0.7,0.6
336,E SENECA ST,Local Road,1,548.4315477532709,18.89,12.89,70.7,0.0,0.6,1.0,0.25,0.8
337,E SENECA ST,Local Road,1,651.1183300373631,13.77,6.74,43.9,0.0,0.6,1.0,0.25,0.6
338,E SENECA ST,Local Road,1,318.96547677066775,16.02,12.81,40.9,0.0,1.0,1.0,0.25,0.8
339,E SENECA ST,Local Road,1,326.1016448509245,14.91,8.02,26.2,0.0,0.6,1.0,0.25,0.6
340,E SENECA ST,Minor Arterial,2,593.4754671418569,1.64,0.77,4.6,0.0,0.6,0.0,0.7,0.2
341,E STATE ST / M.L.K. JR ST,Minor Arterial,2,380.7821479653514,4.99,0.56,2.1,0.0,0.6,1.0,0.7,0.2
342,W SENECA ST,Minor Arterial,2,468.75982130533265,1.7,0.67,3.2,0.0,0.6,0.0,0.7,0.2
343,E GREEN ST,Minor Arterial,3,601.1330502480434,1.37,0.8,4.8,0.0,0.6,0.0,0.7,0.2
344,W GREEN ST,Minor Arterial,2,463.4184751975775,1.98,0.97,4.5,0.0,0.6,0.0,0.7,0.2
345,W SENECA ST,Minor Arterial,2,595.2569310917888,0.0,0.0,0.0,0.0,0.6,0.0,0.7,0.2
346,W GREEN ST,Minor Arterial,2,475.5617810209685,0.28,0.02,0.1,0.0,0.6,0.0,0.7,0.2
347,W STATE ST/ M. L. K. JR ST,Minor Arterial,3,584.9562333439002,0.51,0.26,1.5,0.0,0.6,0.0,0.7,0.2
348,DRYDEN RD,Minor Arterial,2,682.9792627341877,12.01,7.32,50.0,0.0,1.0,1.0,0.7,0.6
349,DRYDEN RD,Minor Arterial,2,875.7581153513502,11.03,2.26,19.8,0.0,1.0,1.0,0.7,0.6
350,HOY RD,NA,2,2030.913865957392,16.68,0.01,0.2,0.0,1.0,1.0,0.25,0.8
351,DRYDEN RD,Minor Arterial,2,417.5762632598421,8.25,1.54,6.4,0.0,1.0,1.0,0.7,0.4
352,MITCHELL ST,Minor Arterial,2,387.7631502829395,12.66,6.93,26.9,0.0,1.0,1.0,0.7,0.6
353,MITCHELL ST,Collector,2,841.2909198387588,14.44,7.19,60.5,0.0,1.0,1.0,0.5,0.6
354,ITHACA RD,Minor Arterial,2,743.7343081075602,9.17,6.43,47.8,0.0,1.0,1.0,0.7,0.4
355,IRVING PL,Local Road,2,309.7716242116065,9.24,3.37,10.4,0.0,1.0,1.0,0.25,0.4
356,ITHACA RD,Minor Arterial,2,711.9742951744158,10.48,6.0,42.7,0.0,1.0,1.0,0.7,0.6
357,DRYDEN RD,Minor Arterial,2,161.24123107351687,12.19,7.16,11.5,0.0,1.0,1.0,0.7,0.6
358,DRYDEN RD,Minor Arterial,2,724.6043390933281,10.69,3.83,27.8,0.0,1.0,1.0,0.7,0.6
359,OAK AVE EB LANE,Local Road,1,51.256926229094326,9.59,7.43,3.8,0.0,1.0,1.0,0.25,0.4
360,COLLEGE AVE,Local Road,2,399.88281700227645,4.45,0.27,1.1,0.0,1.0,1.0,0.25,0.2
361,OAK AVE WB LANE,Local Road,1,85.21852980732127,6.4,2.82,2.4,0.0,1.0,1.0,0.25,0.4
362,COLLEGE AVE,NA,2,37.79812584548645,26.75,10.23,3.9,0.0,1.0,1.0,0.25,1.0
363,COLLEGE AVE,Minor Arterial,2,476.24315208060585,7.41,5.58,26.6,0.0,1.0,1.0,0.7,0.4
364,COOK ST,Local Road,1,210.29766948618496,24.68,15.93,33.5,0.0,1.0,1.0,0.25,1.0
365,EDDY ST,Collector,2,561.0104758355615,9.8,6.14,34.4,0.0,1.0,1.0,0.5,0.4
366,E BUFFALO ST,Minor Arterial,2,547.6677614905072,15.91,11.6,63.5,0.0,0.6,1.0,0.7,0.8
367,E BUFFALO ST,Minor Arterial,2,644.6391079052253,12.91,10.56,68.1,0.0,1.0,1.0,0.7,0.6
368,E BUFFALO ST,Minor Arterial,2,319.7208241427042,20.34,15.02,48.0,0.0,1.0,1.0,0.7,1.0
369,E BUFFALO ST,Minor Arterial,2,405.59532171567093,14.71,9.75,39.6,0.0,0.6,1.0,0.7,0.6
370,E BUFFALO ST,Minor Arterial,2,315.69058889838857,1.23,0.84,2.7,0.0,0.6,1.0,0.7,0.2
371,E BUFFALO ST,Minor Arterial,2,595.4046182287619,1.78,0.55,3.3,0.0,0.6,0.0,0.7,0.2
372,W BUFFALO ST,Minor Arterial,2,464.6348071197602,1.34,0.64,3.0,0.0,0.6,0.0,0.7,0.2
373,W BUFFALO ST,Minor Arterial,3,598.2687554193035,0.83,0.0,0.0,0.0,0.6,0.0,0.7,0.2
374,W BUFFALO ST,Minor Arterial,2,464.6017681792438,0.62,0.35,1.6,0.0,0.6,0.0,0.7,0.2
375,W BUFFALO ST,Minor Arterial,2,463.6319808821893,1.36,0.64,3.0,0.0,0.6,0.0,0.7,0.2
376,W BUFFALO ST,Minor Arterial,2,595.4456847537137,1.43,0.76,4.5,0.0,0.6,0.0,0.7,0.2
377,W BUFFALO ST,Minor Arterial,2,266.18334897460227,1.19,0.68,1.8,0.0,0.6,0.0,0.7,0.2
378,W BUFFALO ST,Minor Arterial,4,98.27054160991236,6.0,2.09,2.1,0.0,0.6,0.0,0.7,0.4
379,W BUFFALO ST,Minor Arterial,4,158.4912833943071,6.62,0.1,0.2,0.0,0.6,0.0,0.7,0.4
380,W BUFFALO ST BRIDGE,Minor Arterial,3,279.0678629139996,29.19,2.97,8.3,0.0,0.6,0.0,0.7,1.0
381,W BUFFALO ST,Minor Arterial,4,469.6887731677746,3.5,0.49,2.3,0.0,0.6,0.0,0.7,0.2
382,FLORAL AVE,Minor Arterial,2,1426.6191405597947,4.88,1.11,15.8,0.0,0.6,0.0,0.7,0.2
383,W CLINTON ST,Minor Arterial,2,464.95096294877715,1.92,0.79,3.7,0.0,0.6,0.0,0.7,0.2
384,PROSPECT ST,Minor Arterial,2,609.3777546701506,10.64,7.7,46.9,0.0,0.6,0.0,0.7,0.6
385,S AURORA ST,Minor Arterial,2,338.0491166725519,17.73,11.61,39.3,0.0,0.6,0.0,0.7,0.8
386,S AURORA ST,Minor Arterial,2,320.06326768353784,11.1,8.46,27.1,0.0,0.6,0.0,0.7,0.6
387,S AURORA ST,Minor Arterial,2,338.16304768056494,11.24,8.43,28.5,0.0,0.6,0.0,0.7,0.6
388,S AURORA ST,Minor Arterial,2,381.54203538195566,27.07,14.23,54.3,0.0,0.6,0.0,0.7,1.0
389,N AURORA ST,Minor Arterial,2,315.24908592071944,2.2,1.12,3.5,0.0,0.6,0.0,0.7,0.2
390,N AURORA ST,Minor Arterial,2,326.13072825691177,2.33,1.05,3.4,0.0,0.6,1.0,0.7,0.2
391,N AURORA ST,Minor Arterial,2,462.1277063600912,1.14,0.42,1.9,0.0,0.6,1.0,0.7,0.2
392,N AURORA ST,Minor Arterial,2,569.2543988380734,3.43,1.92,10.9,0.0,0.6,1.0,0.7,0.2
393,N AURORA ST,Minor Arterial,2,239.07933879079246,2.65,0.28,0.7,0.0,0.6,1.0,0.7,0.2
394,N AURORA ST,Minor Arterial,2,418.518026774419,1.52,0.79,3.3,0.0,0.6,1.0,0.7,0.2
395,N AURORA ST,Minor Arterial,2,413.8456632114988,0.98,0.61,2.5,0.0,0.6,1.0,0.7,0.2
396,N AURORA ST,Minor Arterial,2,413.7618412646503,0.85,0.35,1.5,0.0,0.6,1.0,0.7,0.2
397,N TIOGA ST,Collector,2,417.3136507082143,0.26,0.13,0.5,0.0,0.6,1.0,0.5,0.2
398,N TIOGA ST,Collector,2,418.5561284240443,0.96,0.26,1.1,0.0,0.6,1.0,0.5,0.2
399,N TIOGA ST,Collector,2,417.84256146338083,0.94,0.68,2.8,0.0,0.6,1.0,0.5,0.2
400,N TIOGA ST,Collector,2,416.8523987540776,1.44,0.78,3.2,0.0,0.6,1.0,0.5,0.2
401,N TIOGA ST,Collector,2,406.1209701635113,3.49,0.97,3.9,0.0,0.6,1.0,0.5,0.2
402,N CAYUGA ST,Minor Arterial,2,471.7102779096024,2.5,0.68,3.2,0.0,0.6,0.0,0.7,0.2
403,N TIOGA ST,Collector,2,328.9500657681923,2.34,1.0,3.3,0.0,0.6,0.0,0.5,0.2
404,LINN ST,Minor Arterial,2,170.2413630082437,4.19,0.12,0.2,0.0,0.6,1.0,0.7,0.2
405,E COURT ST,Minor Arterial,2,316.72572648490603,2.55,1.33,4.2,0.0,0.6,1.0,0.7,0.2
406,W COURT ST,Minor Arterial,2,265.0591894865999,1.79,0.49,1.3,0.0,0.6,0.0,0.7,0.2
407,W COURT ST,Minor Arterial,2,595.4602637707435,1.79,0.64,3.8,0.0,0.6,0.0,0.7,0.2
408,W COURT ST,Minor Arterial,2,596.2333272069463,0.2,0.16,0.9,0.0,0.6,0.0,0.7,0.2
409,OSMUN PL,Local Road,2,264.1426888421947,9.27,2.88,7.6,0.0,1.0,1.0,0.25,0.4
410,STEWART AVE,Collector,2,329.9868790772805,13.66,7.82,25.8,0.0,1.0,1.0,0.5,0.6
411,GILES ST,Local Road,1,1030.2310057029317,7.63,0.77,7.9,0.0,0.6,1.0,0.25,0.4
412,HUDSON ST,Collector,2,677.813938811127,18.95,10.11,68.5,0.0,0.6,1.0,0.5,0.8
413,HUDSON ST,Collector,2,363.52175421440893,14.51,9.61,34.9,0.0,0.6,1.0,0.5,0.6
414,ELMWOOD AVE,Local Road,2,696.7593392845121,5.49,0.1,0.7,0.0,1.0,1.0,0.25,0.4
415,FAIRMOUNT AVE,Local Road,2,472.97659405676336,9.28,5.63,26.6,0.0,1.0,1.0,0.25,0.4
416,MAPLE GROVE PL,Local Road,2,213.26854113624955,6.66,2.41,5.1,0.0,1.0,1.0,0.25,0.4
417,MILLER ST,Local Road,2,310.4820892598338,6.64,2.65,8.2,0.0,1.0,1.0,0.25,0.4
418,WORTH ST,Local Road,2,307.032485079342,9.28,5.06,15.5,0.0,1.0,1.0,0.25,0.4
419,WORTH ST,Local Road,2,309.5909730676642,7.57,4.68,14.5,0.0,1.0,1.0,0.25,0.4
420,WORTH ST,Local Road,2,208.0399907172597,5.83,4.04,8.4,0.0,1.0,1.0,0.25,0.4
421,MITCHELL ST,Collector,2,311.83851883685963,11.71,4.42,13.8,0.0,1.0,1.0,0.5,0.6
422,RIDGEDALE RD,Local Road,2,826.1163139623536,11.75,7.49,61.9,0.0,1.0,1.0,0.25,0.6
423,VALLEY RD,Local Road,2,573.4239656263076,14.37,8.39,48.1,0.0,0.6,1.0,0.25,0.6
424,VALLEY RD,Local Road,2,1142.908112473968,14.89,7.98,91.2,0.0,0.6,1.0,0.25,0.6
425,ITHACA RD,Local Road,2,305.84595471658525,10.28,3.87,11.8,0.0,1.0,1.0,0.25,0.6
