partition_set_id,partition_id,method,start_node,cycle_time,num_complete_cycles,benefit,benefit_per_minute,cost_without_plow,cost_with_plow,coverage_ratio,total_priority,unique_edges
2,4,chinese_postman,464,82.15724436893801,8,643437.9168770751,893.6637734403821,722649.5999999986,79211.68312292344,1.0,167.27999999999966,372
0,4,chinese_postman,252,82.15724436893812,8,643430.6736838534,893.6537134497963,722649.5999999988,79218.92631614541,1.0,167.27999999999972,372
0,4,chinese_postman,68,82.15724436893802,8,643429.5085436311,893.6520951994876,722649.5999999986,79220.09145636755,1.0,167.27999999999966,372
2,4,chinese_postman,454,82.15724436893801,8,643428.9996688974,893.6513884290241,722649.5999999985,79220.60033110112,1.0,167.27999999999963,372
1,4,chinese_postman,641,82.15724436893812,8,643427.9393004124,893.6499156950173,722649.5999999989,79221.66069958649,1.0,167.27999999999975,372
2,4,chinese_postman,428,82.15724436893802,8,643422.0238512963,893.6416997934671,722649.5999999987,79227.57614870244,1.0,167.2799999999997,372
2,4,chinese_postman,334,82.15724436893804,8,643418.4110672887,893.636682037901,722649.5999999987,79231.18893271002,1.0,167.2799999999997,372
0,4,chinese_postman,242,82.15724436893812,8,643408.5527726768,893.6229899620511,722649.6000000001,79241.04722732324,1.0,167.28000000000003,372
1,4,chinese_postman,434,82.15724436893814,8,643401.4423523976,893.61311437833,722649.5999999996,79248.15764760207,1.0,167.27999999999992,372
1,4,chinese_postman,638,82.15724436893815,8,643400.3426114013,893.6115869602796,722649.5999999999,79249.25738859853,1.0,167.27999999999997,372
1,4,chinese_postman,65,82.15724436893817,8,643393.5802537902,893.6021947969309,722649.5999999999,79256.0197462096,1.0,167.27999999999997,372
0,4,chinese_postman,430,82.15724436893812,8,643392.8164998397,893.6011340275551,722649.5999999997,79256.78350016005,1.0,167.27999999999994,372
0,4,chinese_postman,430,82.15724436893812,8,643392.8164998397,893.6011340275551,722649.5999999997,79256.78350016005,1.0,167.27999999999994,372
1,4,chinese_postman,20,82.15724436893808,8,643390.0006846784,893.5972231731645,722649.5999999985,79259.59931532007,1.0,167.27999999999963,372
0,4,chinese_postman,23,82.15724436893807,8,643386.0383005395,893.5917198618604,722649.5999999982,79263.56169945872,1.0,167.2799999999996,372
0,4,chinese_postman,437,82.15724436893807,8,643355.0515827872,893.548682753871,722649.5999999988,79294.54841721168,1.0,167.27999999999972,372
1,4,chinese_postman,24,82.15724436893807,8,643354.4386137977,893.5478314080523,722649.5999999988,79295.16138620111,1.0,167.27999999999972,372
2,4,chinese_postman,22,82.15724436893807,8,643353.8108115491,893.5469594604848,722649.5999999989,79295.78918844982,1.0,167.27999999999975,372
0,4,chinese_postman,491,82.15724436893804,8,643348.3810004038,893.5394180561163,722649.5999999982,79301.2189995945,1.0,167.2799999999996,372
2,4,chinese_postman,664,82.15724436893802,8,643342.0787033247,893.5306648657287,722649.5999999985,79307.5212966738,1.0,167.27999999999963,372
0,4,chinese_postman,66,82.15724436893815,8,643337.6118242646,893.5244608670342,722649.6000000003,79311.98817573565,1.0,167.28000000000006,372
1,4,chinese_postman,489,82.15724436893802,8,643327.094323355,893.509853226882,722649.5999999986,79322.50567664356,1.0,167.27999999999966,372
0,4,chinese_postman,348,82.15724436893807,8,643324.3427986205,893.5060316647506,722649.5999999989,79325.25720137848,1.0,167.27999999999975,372
1,4,chinese_postman,488,82.15724436893802,8,643324.0087019545,893.5055676416034,722649.5999999986,79325.59129804406,1.0,167.27999999999966,372
1,4,chinese_postman,339,82.15724436893805,8,643323.893418174,893.5054075252417,722649.5999999985,79325.70658182447,1.0,167.27999999999963,372
2,4,chinese_postman,445,82.15724436893805,8,643322.5405735975,893.503528574441,722649.5999999994,79327.05942640183,1.0,167.27999999999986,372
1,4,chinese_postman,344,82.157244368938,8,643309.8961256006,893.4859668411119,722649.5999999985,79339.70387439786,1.0,167.27999999999963,372
0,4,chinese_postman,352,82.157244368938,8,643308.5555813024,893.4841049740311,722649.5999999985,79341.04441869612,1.0,167.27999999999963,372
0,4,chinese_postman,351,82.15724436893804,8,643299.8818336389,893.4720581022763,722649.5999999992,79349.71816636027,1.0,167.2799999999998,372
2,4,chinese_postman,446,82.15724436893804,8,643294.2688511878,893.4642622933163,722649.5999999995,79355.33114881179,1.0,167.2799999999999,372
2,4,chinese_postman,517,82.15724436893815,8,643292.0770420292,893.4612181139295,722649.6000000003,79357.5229579711,1.0,167.28000000000006,372
2,4,chinese_postman,335,82.15724436893802,8,643282.232931944,893.4475457388111,722649.5999999995,79367.36706805555,1.0,167.2799999999999,372
1,4,chinese_postman,341,82.15724436893802,8,643281.148743347,893.4460399213153,722649.5999999996,79368.45125665265,1.0,167.27999999999992,372
2,4,chinese_postman,337,82.15724436893802,8,643281.0677906579,893.4459274870248,722649.5999999996,79368.53220934175,1.0,167.27999999999992,372
0,4,chinese_postman,337,82.15724436893802,8,643281.0677906579,893.4459274870248,722649.5999999996,79368.53220934175,1.0,167.27999999999992,372
2,4,chinese_postman,516,82.15724436893814,8,643267.118529591,893.4265535133209,722649.5999999999,79382.48147040886,1.0,167.27999999999997,372
1,4,chinese_postman,516,82.15724436893814,8,643267.118529591,893.4265535133209,722649.5999999999,79382.48147040886,1.0,167.27999999999997,372
0,4,chinese_postman,399,82.15724436893817,8,643257.7636821532,893.4135606696572,722649.6000000003,79391.83631784718,1.0,167.28000000000006,372
1,4,chinese_postman,508,82.15724436893817,8,643254.2850167996,893.4087291899995,722649.6000000003,79395.31498320079,1.0,167.28000000000006,372
0,4,chinese_postman,502,82.15724436893812,8,643227.4894409877,893.371513112483,722649.6000000006,79422.11055901287,1.0,167.28000000000011,372
1,4,random_walk,451,109.949582657807,6,513982.32098158705,713.8643346966487,586515.6000000003,72533.27901841326,1.0,264.0874999999997,280
2,4,random_walk,580,112.04342414147092,6,498613.1731599585,692.5182960554979,574793.2800000004,76180.10684004186,1.0,263.3239999999993,275
1,4,random_walk,23,109.7203552477654,6,494225.44239722774,686.4242255517051,568047.6000000007,73822.15760277293,1.0,223.79949999999997,275
2,4,random_walk,16,109.76590351240911,6,490954.0445530321,681.8806174347668,557994.9600000003,67040.91544696824,1.0,288.73199999999963,251
1,4,random_walk,58,109.4136233594937,6,490105.43474712945,680.7019927043465,564600.2400000001,74494.80525287065,1.0,231.3359999999992,281
1,4,random_walk,638,111.17342453022663,6,484074.9045019382,672.3262562526919,551728.8000000002,67653.89549806196,1.0,281.6375,250
1,4,random_walk,57,112.86105815211812,6,455830.6810296091,633.0981680966793,524718.0000000005,68887.31897039135,1.0,244.1539999999996,270
0,4,random_walk,507,111.61900625442787,6,445144.1306041144,618.2557369501588,508438.0800000004,63293.94939588601,1.0,236.84199999999944,257
0,4,random_walk,334,111.88959877752602,6,444742.3332134912,617.6976850187377,512725.6800000007,67983.34678650949,1.0,232.9524999999991,241
