partition_set_id,partition_id,method,start_node,uniform_benefit_pct,gaussian_benefit_pct,change_pct
0,0,greedy,231,82.36596694722677,82.62961803020468,0.2636510829779155
0,0,greedy,645,85.42662963689561,85.84995872507147,0.423329088175862
0,0,greedy,277,81.88455420622614,83.1881948418055,1.303640635579356
0,0,greedy,402,85.31068087282709,85.23119316126036,-0.07948771156672763
0,0,greedy,237,87.21717508804912,87.83092933323717,0.6137542451880478
0,0,greedy,233,87.07739230978304,87.04599459253757,-0.03139771724546847
0,0,greedy,245,86.06208200308785,86.53622319351382,0.4741411904259678
0,0,greedy,265,85.4008711547312,86.11612925070476,0.715258095973553
0,0,greedy,541,69.41661576443347,70.45568240107168,1.0390666366382106
0,0,greedy,645,87.0847126653119,87.69990691798925,0.6151942526773553
0,0,greedy,402,80.07880600550757,79.28211298692356,-0.7966930185840084
0,0,greedy,676,84.33541980375011,84.67464562053664,0.33922581678652364
0,0,random_walk_bias_0.5,645,79.62651523921122,77.82087416502031,-1.805641074190902
0,0,random_walk_bias_0.5,273,85.06125504364293,84.09584694558583,-0.9654080980570967
0,0,random_walk_bias_0.5,232,78.73698429986237,77.82492271032297,-0.9120615895394053
0,0,random_walk_bias_0.5,689,82.64239078709448,82.41270962649911,-0.22968116059537635
0,0,random_walk_bias_0.5,402,83.27963865246556,83.50331434348949,0.22367569102392793
0,0,random_walk_bias_0.5,224,78.90449216720405,78.31284598147323,-0.5916461857308235
0,0,random_walk_bias_0.5,240,83.08205371942485,83.5304006553257,0.44834693590085806
0,0,random_walk_bias_0.5,257,84.49126000708914,84.24513007750835,-0.24612992958078905
0,0,random_walk_bias_0.5,240,84.79821132147612,84.26319488233429,-0.5350164391418275
0,0,random_walk_bias_0.5,235,83.82897967326565,84.70348410638302,0.8745044331173659
0,0,random_walk_bias_0.5,281,84.9748511855609,85.05855323437285,0.08370204881195775
0,0,random_walk_bias_0.5,269,84.58986772435789,83.12267625242849,-1.4671914719293966
0,0,random_walk_bias_1.0,248,82.5322590673345,82.36558066370458,-0.16667840362991626
0,0,random_walk_bias_1.0,280,83.92452352138669,83.88146662522645,-0.04305689616023756
0,0,random_walk_bias_1.0,265,82.97758249172668,82.72445211981714,-0.2531303719095348
0,0,random_walk_bias_1.0,266,80.85454665455123,79.40701234180523,-1.4475343127460008
0,0,random_walk_bias_1.0,752,85.138549225803,84.99497429857392,-0.14357492722908205
0,0,random_walk_bias_1.0,224,82.03333166675438,80.20078560329952,-1.8325460634548563
0,0,random_walk_bias_1.0,240,86.36305473382966,86.35044793093701,-0.012606802892648261
0,0,random_walk_bias_1.0,236,81.62751124657565,80.85760402662261,-0.7699072199530406
0,0,random_walk_bias_1.0,689,81.37797219357881,81.44538461838225,0.06741242480343601
0,0,random_walk_bias_1.0,753,81.64090440841872,81.06663424538458,-0.5742701630341429
0,0,random_walk_bias_1.0,539,84.96647450978642,84.19742378830841,-0.7690507214780098
0,0,random_walk_bias_1.0,404,81.58249484170497,80.27452049569895,-1.30797434600602
0,0,random_walk_bias_2.0,241,80.53792402696423,79.33085463551708,-1.207069391447149
0,0,random_walk_bias_2.0,230,78.84150332018852,77.76681445030367,-1.0746888698848522
0,0,random_walk_bias_2.0,243,80.05223722792299,78.79733805537111,-1.2548991725518732
0,0,random_walk_bias_2.0,222,82.66746372992357,82.52359318872048,-0.14387054120308562
0,0,random_walk_bias_2.0,235,84.40116373684349,83.59155766086288,-0.8096060759806107
0,0,random_walk_bias_2.0,646,76.56062754469363,74.55072877174221,-2.0098987729514164
0,0,random_walk_bias_2.0,659,80.33906641065963,79.72860232872347,-0.6104640819361578
0,0,random_walk_bias_2.0,278,82.65878781221512,82.84009598910697,0.18130817689184653
0,0,random_walk_bias_2.0,265,74.59976940360302,73.66219350666788,-0.9375758969351438
0,0,random_walk_bias_2.0,659,81.25891103539094,80.00827100275366,-1.2506400326372784
0,0,random_walk_bias_2.0,266,80.7091965817381,78.42143770818251,-2.287758873555589
0,0,random_walk_bias_2.0,277,82.30986153601158,81.39581012288836,-0.914051413123218
0,1,greedy,686,88.94038986762123,88.96291860258226,0.022528734961028363
0,1,greedy,217,88.28233517369615,88.40130095312787,0.11896577943171849
0,1,greedy,634,88.16705762880186,88.17384386470872,0.006786235906858451
0,1,greedy,212,87.22525233440116,87.40807909663548,0.18282676223431338
0,1,greedy,204,89.20508433273602,89.26750276381433,0.062418431078313574
0,1,greedy,221,88.5187934182968,88.4898781399676,-0.02891527832919394
0,1,greedy,287,88.44380876570848,88.49428527731209,0.050476511603605445
0,1,greedy,216,87.92388076203531,87.96899945539361,0.04511869335830454
0,1,greedy,435,87.2278019827232,87.33625974854536,0.10845776582216615
0,1,greedy,227,88.77879442618105,88.86202731642057,0.08323289023951475
0,1,greedy,201,88.98980910387179,88.99932439175423,0.009515287882436496
0,1,greedy,637,85.61334963266721,85.48384542167678,-0.12950421099043297
0,1,random_walk_bias_0.5,207,88.27892732807943,88.37047998916691,0.0915526610874764
0,1,random_walk_bias_0.5,185,87.7236732848975,87.67583745442455,-0.04783583047294826
0,1,random_walk_bias_0.5,204,87.18551823855137,87.18784727015286,0.002329031601490783
0,1,random_walk_bias_0.5,148,87.39170936362297,87.52225171184487,0.13054234822190836
0,1,random_walk_bias_0.5,207,86.52294356164238,86.75187416996374,0.22893060832136314
0,1,random_walk_bias_0.5,200,88.41832743150478,88.44913964347633,0.030812211971550596
0,1,random_walk_bias_0.5,200,87.79290757271488,87.93889921746054,0.1459916447456635
